id	station	city
87296145	Gare de Origny-en-Thiérache	Origny-En-Thierache
87296152	Gare de Crépy-Couvron	Crepy
87296178	Gare de Clacy-Mons	Clacy-Et-Thierret
87296244	Gare de Busigny	Busigny
87296269	Gare de Bohain	Bohain-En-Vermandois
87296293	Gare de Fresnoy-le-Grand	Fresnoy-Le-Grand
87296418	Gare de Montescourt	Montescourt-Lizerolles
87296434	Gare de Mennessis	Mennessis
87296442	Gare de Tergnier	Tergnier
87296459	Gare de Appilly	Appilly
87296566	Gare de Anizy-Pinon	Pinon
87296608	Gare de Versigny	Versigny
87296616	Gare de Chauny	Chauny
87296632	Gare de La Fère	La Fere
87296871	Gare de Flavy-le-Martel	Flavy-Le-Martel
87297051	Gare de Viry-Noureuil	Viry-Noureuil
87297085	Gare de La Bouteille	La Bouteille
87297119	Gare de Verneuil-sur-Serre	Verneuil-Sur-Serre
87297143	Gare de Dercy-Froidmont	Dercy
87297150	Gare de Voyenne	Voyenne
87297283	Gare de Vauxaillon	Vauxaillon
87297291	Gare de Barenton-Bugny	Barenton-Bugny
87297515	Gare de Les Bons Pères	Rousies
87297523	Gare de Hachette	Locquignol
87297531	Gare de St Hilaire	Saint-Hilaire-Sur-Helpe
87300863	Gare de Besançon-Franche-Comté	Les Auxons
87303875	Gare de Ingersheim-Cité-Sc.	Turckheim
87313049	Gare de Longueau	Longueau
87313056	Gare de Corbie	Corbie
87313064	Gare de Méricourt Ribémont	Mericourt-L'Abbe
87313072	Gare de Albert	Albert
87313080	Gare de St-Roch (Somme)	Amiens
87313098	Gare de Ailly-sur-Somme	Ailly-Sur-Somme
87313106	Gare de Picquigny	Picquigny
87313114	Gare de Hangest	Hangest-Sur-Somme
87313122	Gare de Longpré-Corps-Saints	Longpre-Les-Corps-Saints
87313130	Gare de Pont-Rémy	Pont-Remy
87313213	Gare de Boves	Boves
87313221	Gare de Ailly-sur-Noye	Ailly-Sur-Noye
87313239	Gare de La Faloise	La Faloise
87313247	Gare de Breteuil-Embranchement	Bacouel
87313262	Gare de Gannes	Gannes
87313270	Gare de St-Just-SNCF	Saint-Just-En-Chaussee
87313288	Gare de St-Rémy-en-l'Eau	Saint-Remy-En-L'Eau
87313296	Gare de Avrechy	Avrechy
87313304	Gare de Clermont-de-l'Oise	Clermont
87313320	Gare de Moreuil	Moreuil
87313338	Gare de Hargicourt-Pierrepont	Trois-Rivieres
87313346	Gare de Montdidier-SNCF	Montdidier
87313353	Gare de Tricot	Tricot
87313379	Gare de Namps-Quevauvillers	Namps-Maisnil
87313387	Gare de Estrées-St-Denis	Estrees-Saint-Denis
87313395	Gare de Poix-de-Picardie	Poix-De-Picardie
87313403	Gare de Rémy (Oise)	Remy
87313437	Gare de Villers-Bretonneux	Villers-Bretonneux
87313445	Gare de Marcelcave	Marcelcave
87313460	Gare de Rosières (Somme)	Rosieres-En-Santerre
87313478	Gare de Chaulnes-SNCF	Chaulnes
